OF,algorithm
361,MODEL
306,MODEL
271,MODEL
263,MODEL
307,MODEL
270,MODEL
251,MODEL
292,MODEL
277,MODEL
249,MODEL
293,MODEL
314,MODEL
291,MODEL
389,MODEL
227,MODEL
258,MODEL
345,MODEL
326,MODEL
401,MODEL
275,MODEL
375,MODEL
323,MODEL
326,MODEL
500,MODEL
314,MODEL
492,MODEL
380,MODEL
441,MODEL
393,MODEL
304,MODEL
270,MODEL
333,MODEL
283,MODEL
348,MODEL
159,MODEL
189,MODEL
318,MODEL
176,MODEL
258,MODEL
227,MODEL
274,MODEL
282,MODEL
473,MODEL
197,MODEL
336,MODEL
455,MODEL
424,MODEL
232,MODEL
416,MODEL
438,MODEL
658,MODEL
492,MODEL
561,MODEL
321,MODEL
358,MODEL
619,MODEL
551,MODEL
540,MODEL
478,MODEL
544,MODEL
244,MODEL
340,MODEL
298,MODEL
361,MODEL
164,MODEL
271,MODEL
302,MODEL
180,MODEL
157,MODEL
201,MODEL
254,MODEL
296,MODEL
332,MODEL
309,MODEL
290,MODEL
373,MODEL
284,MODEL
391,MODEL
369,MODEL
329,MODEL
421,MODEL
487,MODEL
293,MODEL
393,MODEL
350,MODEL
308,MODEL
354,MODEL
352,MODEL
337,MODEL
530,MODEL
281,MODEL
258,MODEL
241,MODEL
202,MODEL
280,MODEL
180,MODEL
163,MODEL
256,MODEL
256,MODEL
230,MODEL
222,MODEL
234,MODEL
220,MODEL
349,MODEL
176,MODEL
195,MODEL
289,MODEL
242,MODEL
331,MODEL
223,MODEL
296,MODEL
264,MODEL
249,MODEL
410,MODEL
261,MODEL
407,MODEL
293,MODEL
340,MODEL
316,MODEL
275,MODEL
196,MODEL
267,MODEL
263,MODEL
306,MODEL
139,MODEL
166,MODEL
256,MODEL
133,MODEL
209,MODEL
178,MODEL
200,MODEL
263,MODEL
374,MODEL
161,MODEL
277,MODEL
362,MODEL
373,MODEL
185,MODEL
322,MODEL
323,MODEL
272,MODEL
328,MODEL
368,MODEL
363,MODEL
231,MODEL
407,MODEL
200,MODEL
209,MODEL
288,MODEL
277,MODEL
197,MODEL
287,MODEL
253,MODEL
328,MODEL
125,MODEL
238,MODEL
255,MODEL
177,MODEL
135,MODEL
